STT,Thuật ngữ,Định nghĩa ngắn,Công thức,SQL chính,Ngưỡng trigger,Score [0-1],Dùng ở
1,Drawdown Level,Mức sụt giảm PnL tích luỹ lớn nhất so với đỉnh,"drawdown_pct = |MIN(cum_pnl - peak)| / (initial + peak) × 100","WITH c AS (SUM(net_pnl) OVER), p AS (MAX(cum_pnl)) → MIN((cum - peak)/(5000+peak))*100","> 30% → Soft Kill | > 70% → Hard Kill ngay","drawdown_score = 1 - ABS(drawdown_pct/100)",Health Score 30%
2,Loss Acceleration,Số lệnh thua liên tiếp gần nhất,"consecutive_losses = đếm từ lệnh mới nhất ngược lại, dừng khi profit > 0","ROW_NUMBER() DESC → đếm rn < MIN(rn WHERE profit>0)","≥ 5 lệnh → Soft Kill","loss_acceleration_score = 1 - LEAST(consecutive_losses/10, 1)",Health Score 20%
3,Profit Factor,Tỷ lệ tổng lãi / tổng lỗ (raw profit — chuẩn Myfxbook),"profit_factor = SUM(profit>0) / ABS(SUM(profit<0))","SUM(CASE WHEN profit>0 THEN profit END) / NULLIF(ABS(SUM(CASE WHEN profit<0 THEN profit END)),0)","< 1.0 → Soft Kill | < 0.7 → nguy hiểm","profit_factor_score = LEAST(profit_factor/2.0, 1)",Health Score 25%
4,Stability of Returns,Độ ổn định PnL theo ngày (STDDEV càng thấp càng tốt),"stability = STDDEV(daily_pnl) — trên 90 ngày gần nhất","SELECT STDDEV(daily_pnl) FROM (SELECT DATE(FROM_UNIXTIME(closeTime/1000)) dt, SUM(net_pnl) daily_pnl GROUP BY dt)","STDDEV cao → health thấp","stability_score = 1 - LEAST(pnl_stddev/THRESHOLD, 1) | THRESHOLD=200 USD/ngày",Health Score 15%
5,Abnormal Execution,Tỷ lệ lệnh có commission bất thường (> 3× trung bình),"anomaly_rate = COUNT(|commision|>avg*3) / total","AVG(ABS(commision)) OVER() → đếm lệnh vượt 3×","> 20% anomaly → Hard Kill","execution_score = 1 - anomaly_rate",Health Score 10%
6,Consistent Negative Returns,Số ngày lỗ liên tiếp gần nhất,"consecutive_loss_days = đếm ngày daily_pnl<0 từ hôm nay ngược lại","DATE() GROUP BY → ROW_NUMBER() DESC → đếm < MIN(rn WHERE daily_pnl>0)","≥ 5 ngày → Soft Kill",Không có score riêng,Phase 1 Trigger
7,Declining Performance Trend,Profit factor 14 ngày gần nhất giảm > 20% so với 14 ngày trước,"declining = pf_recent < pf_previous × 0.8","Chạy profit_factor query 2 lần: [0-14d] vs [14-28d]","declining=true và pf_recent<1.0 → Soft Kill",Không có score riêng,Phase 1 Trigger
9,Structural Failure,Ngày lỗ 1 ngày cực lớn (dấu hiệu lỗi logic EA),"structural_failure = (MIN(daily_pnl) < -STRUCTURAL_THRESHOLD)","SELECT MIN(daily_pnl) FROM (SELECT DATE dt, SUM(net_pnl) daily_pnl GROUP BY dt)","worst_day < -30% balance → Hard Kill ngay",Không có score riêng,Phase 1 Hard Kill
10,Persistent Inability to Recover,EA ở Soft Kill > 28 ngày mà health vẫn thấp,"days_in_soft_kill = DATEDIFF(NOW(), ngày vào Soft Kill)","SELECT DATEDIFF(NOW(), MIN(changed_at)) FROM EA_State_Log WHERE new_state='soft_kill'","Soft Kill > 28 ngày + health < 0.3 → Hard Kill",Không có score riêng,Phase 1 Hard Kill
20,Health Score,Điểm sức khoẻ tổng hợp [0-1] từ 5 thành phần,"health = 0.30×DD + 0.20×Loss + 0.25×PF + 0.15×Stability + 0.10×Exec","Tính 5 score riêng rồi cộng có trọng số","≥ 0.65 → Active | 0.3-0.65 → Soft Kill | <0.3 kéo dài 28 ngày → Hard Kill",health_score ∈ [0-1],Phase 1 Output
11,Increased/Reduced Exposure,Hệ số nhân lot dựa trên mức phù hợp regime,"exposure_weight = f(survival_score tại regime hiện tại)","tra EA_Regime_Profile[eaCode][current_regime].survival_score","≥0.70 → ×1.5 | 0.45-0.70 → ×1.0 | <0.45 → ×0.5",exposure_weight ∈ {0.5/1.0/1.5},Phase 2 Output
Survival Score,Survival Score,Hiệu quả EA trong từng regime cụ thể,"survival = 0.5×win_rate + 0.5×LEAST(profit_factor/2, 1)","win_rate + profit_factor từ Orders JOIN Market_Regime (180 ngày lookback)","min 20 lệnh mới tính",survival_score ∈ [0-1],Phase 2 Basis
21,Portfolio Risk,Tổng effective_lot_mult của toàn bộ EA active,"portfolio_risk = SUM(effective_lot_mult) WHERE state='active'","SELECT SUM(effective_lot_mult) FROM EA_Allocation JOIN EA_Health WHERE state='active'","Nếu > MAX_PORTFOLIO_EXPOSURE → scale down tất cả",tổng units,Phase 3 Guard
LOT,Lot Multiplier (Phase 3),Xếp hạng performance EA → phân tier lot,"rank_percentile = vị trí trong pool active EAs","performance_score = 0.4×pf + 0.3×net_pnl_norm + 0.2×win_rate + 0.1×stability","≥80% → ×1.5 | 20-80% → ×1.0 | <20% → ×0.5",lot_multiplier ∈ {0.5/1.0/1.5},Phase 3 Output
EFF,Effective Lot,Kết hợp Phase 2 + Phase 3,"effective_lot = exposure_weight × lot_multiplier","UPDATE EA_Allocation SET effective_lot_mult = exposure_weight × lot_multiplier","Max: 1.5×1.5=2.25 | Min: 0.5×0.5=0.25",effective_lot_mult ∈ [0.25-2.25],Final Output
23,Smooth Conservative,Giới hạn thay đổi lot tối đa mỗi lần rebalance,"new_lot = CLAMP(calculated, old-0.3, old+0.3)","def smooth_lot(old, new): return max(old-0.3, min(old+0.3, new))","DELTA_MAX = 0.3 — tránh thay đổi đột ngột",Không có,Phase 3 Rule
